FID,Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,Bus_Stops_Count,Blue_Bikes_Stations_Count,Blue_Bikes_Docks_Count,Air_Quality_Tooltip
73,Mission Hill,246,335,1560.02,1407,2064,1729,209,1,6,2,32,NO2: 23.40325842696629<br>O3: 19.57561797752809<br>PM10: 27.918483146067416<br>PM2.5: 10.563988764044945<br>SO2: 0.3456741573033708<br>AQI: 41.58988764044944<br>Category: Good air quality<br>ZipCode: 2120<br>
74,Mission Hill,602,206,1347.88,2627,2013,1807,455,1,7,0,0,NO2: 23.40325842696629<br>O3: 19.57561797752809<br>PM10: 27.918483146067416<br>PM2.5: 10.563988764044945<br>SO2: 0.3456741573033708<br>AQI: 41.58988764044944<br>Category: Good air quality<br>ZipCode: 2120<br>
75,Mission Hill,462,97,1544.26,2125,1521,1424,224,1,18,4,78,NO2: 23.40325842696629<br>O3: 19.57561797752809<br>PM10: 27.918483146067416<br>PM2.5: 10.563988764044945<br>SO2: 0.3456741573033708<br>AQI: 41.58988764044944<br>Category: Good air quality<br>ZipCode: 2120<br>
76,Roxbury,707,240,1064.84,2863,2159,1919,663,1,6,3,51,NO2: 21.773539325842695<br>O3: 19.57432584269663<br>PM10: 24.25331460674157<br>PM2.5: 10.3038202247191<br>SO2: 0.3711235955056179<br>AQI: 40.8876404494382<br>Category: Good air quality<br>ZipCode: 2118<br>
77,Roxbury,805,300,999.88,2510,1840,1540,589,3,16,1,19,NO2: 21.773539325842695<br>O3: 19.57432584269663<br>PM10: 24.25331460674157<br>PM2.5: 10.3038202247191<br>SO2: 0.3711235955056179<br>AQI: 40.8876404494382<br>Category: Good air quality<br>ZipCode: 2118<br>
78,Roxbury,373,80,629.14,1686,1018,938,309,0,6,0,0,NO2: 21.054494382022472<br>O3: 19.5488202247191<br>PM10: 15.454382022471911<br>PM2.5: 8.855393258426966<br>SO2: 0.4076404494382022<br>AQI: 35.2752808988764<br>Category: Good air quality<br>ZipCode: 2119<br>
79,Roxbury,506,367,1498.77,1916,2005,1638,574,3,19,2,46,NO2: 21.773539325842695<br>O3: 19.57432584269663<br>PM10: 24.25331460674157<br>PM2.5: 10.3038202247191<br>SO2: 0.3711235955056179<br>AQI: 40.8876404494382<br>Category: Good air quality<br>ZipCode: 2118<br>
80,Roxbury,285,228,1259.64,1847,1093,865,471,2,6,1,19,NO2: 21.773539325842695<br>O3: 19.57432584269663<br>PM10: 24.25331460674157<br>PM2.5: 10.3038202247191<br>SO2: 0.3711235955056179<br>AQI: 40.8876404494382<br>Category: Good air quality<br>ZipCode: 2118<br>
81,Roxbury,2244,469,1901.9,5453,3255,2786,1030,0,18,2,15,NO2: 17.48191011235955<br>O3: 23.086516853932583<br>PM10: 17.40943820224719<br>PM2.5: 8.719943820224719<br>SO2: 0.3892134831460674<br>AQI: 34.70224719101124<br>Category: Good air quality<br>ZipCode: 2126<br>
82,Roxbury,1734,304,1834.43,5221,2670,2366,769,0,6,0,0,NO2: 24.3164606741573<br>O3: 20.09983146067416<br>PM10: 27.783651685393256<br>PM2.5: 10.21314606741573<br>SO2: 0.4007865168539326<br>AQI: 40.45505617977528<br>Category: Good air quality<br>ZipCode: 2121<br>
