date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,PM10AQI,CategoryNumber,CategoryName
2022-09-01,2045,Weymouth,MA,42.2459,-70.9628,32.0,19.0,,1.0,Good
2022-09-02,2045,Weymouth,MA,42.2459,-70.9628,29.0,11.0,,1.0,Good
2022-09-03,2045,Weymouth,MA,42.2459,-70.9628,36.0,15.0,,1.0,Good
2022-09-04,2045,Weymouth,MA,42.2459,-70.9628,43.0,19.0,,1.0,Good
2022-09-05,2045,Weymouth,MA,42.2459,-70.9628,25.0,18.0,,1.0,Good
2022-09-06,2045,Weymouth,MA,42.2459,-70.9628,29.0,18.0,,1.0,Good
2022-09-07,2045,Weymouth,MA,42.2459,-70.9628,23.0,16.0,,1.0,Good
2022-09-08,2045,Weymouth,MA,42.2459,-70.9628,26.0,17.0,,1.0,Good
2022-09-09,2045,Weymouth,MA,42.2459,-70.9628,29.0,29.0,,1.0,Good
2022-09-10,2045,Weymouth,MA,42.2459,-70.9628,29.0,40.0,,1.0,Good
2022-09-11,2045,Weymouth,MA,42.2459,-70.9628,31.0,40.0,,1.0,Good
2022-09-12,2045,Weymouth,MA,42.2459,-70.9628,28.0,19.0,,1.0,Good
2022-09-13,2045,Weymouth,MA,42.2459,-70.9628,26.0,16.0,,1.0,Good
2022-09-14,2045,Weymouth,MA,42.2459,-70.9628,35.0,25.0,,1.0,Good
2022-09-15,2045,Weymouth,MA,42.2459,-70.9628,28.0,15.0,,1.0,Good
2022-09-16,2045,Weymouth,MA,42.2459,-70.9628,30.0,11.0,,1.0,Good
2022-09-17,2045,Weymouth,MA,42.2459,-70.9628,31.0,15.0,,1.0,Good
2022-09-18,2045,Weymouth,MA,42.2459,-70.9628,61.0,33.0,,2.0,Moderate
2022-09-19,2045,Weymouth,MA,42.2459,-70.9628,26.0,31.0,,1.0,Good
2022-09-20,2045,Weymouth,MA,42.2459,-70.9628,22.0,14.0,,1.0,Good
2022-09-21,2045,Weymouth,MA,42.2459,-70.9628,29.0,17.0,,1.0,Good
2022-09-22,2045,Weymouth,MA,42.2459,-70.9628,35.0,20.0,,1.0,Good
2022-09-23,2045,Weymouth,MA,42.2459,-70.9628,25.0,15.0,,1.0,Good
2022-09-24,2045,Weymouth,MA,42.2459,-70.9628,29.0,12.0,,1.0,Good
2022-09-25,2045,Weymouth,MA,42.2459,-70.9628,37.0,23.0,,1.0,Good
